"","row.names.eurhuf.","EURHUF.X.Open","EURHUF.X.High","EURHUF.X.Low","EURHUF.X.Close","EURHUF.X.Volume","EURHUF.X.Adjusted","USDHUF.X.Open","USDHUF.X.High","USDHUF.X.Low","USDHUF.X.Close","USDHUF.X.Volume","USDHUF.X.Adjusted","kinfo_dummy","vm_dummy","nm_dummy","mgy_dummy","alapkamat"
"121","2018-11-16",321.6440125,321.9590149,321.2489929,321.6459961,0,321.6459961,284.0220032,284.2099915,281.6900024,284.1499939,0,284.1499939,0,0,0,0,0
"122","2018-11-19",321.3599854,321.7690125,321.0660095,321.3569946,0,321.3569946,281.6159973,282.223999,280.2680054,281.5660095,0,281.5660095,0,0,0,0,0
"123","2018-11-20",320.8819885,321.7170105,320.79599,320.8919983,0,320.8919983,280.3009949,282.303009,279.730011,280.2869873,0,280.2869873,0,0,0,0,0
"124","2018-11-21",321.1040039,321.5679932,320.7460022,321.1059875,0,321.1059875,282.5100098,282.776001,281.2799988,282.4700012,0,282.4700012,0,0,0,0,0
"125","2018-11-22",321.4249878,321.7420044,321.0669861,321.4419861,0,321.4419861,282.25,282.5299988,281.0499878,282.2739868,0,282.2739868,0,0,0,0,0
"126","2018-11-23",320.927002,322.2189941,320.8150024,320.8859863,0,320.8859863,281.5700073,284.3009949,280.9599915,281.5299988,0,281.5299988,0,0,0,0,0
"127","2018-11-26",322.0109863,323.5450134,321.9710083,321.9970093,0,321.9970093,284.0130005,285.3280029,282.8999939,284.1600037,0,284.1600037,0,0,0,0,0
"128","2018-11-27",323.480011,324.8410034,323.1839905,323.4760132,0,323.4760132,285.6199951,287.6119995,285.0320129,285.5499878,0,285.5499878,0,0,0,0,0
"129","2018-11-28",323.7130127,324.3510132,323.4979858,323.7260132,0,323.7260132,286.5599976,287.6849976,286.3280029,286.6300049,0,286.6300049,1,0,0,0,0
"130","2018-11-29",323.368988,323.8659973,322.6789856,323.3640137,0,323.3640137,284.6099854,285.0069885,283.2130127,284.4590149,0,284.4590149,0,0,0,0,0
"131","2018-11-30",323.2049866,323.9330139,323.1340027,323.3059998,0,323.3059998,283.7099915,286.2780151,283.6000061,283.8009949,0,283.8009949,0,0,0,0,0
"132","2018-12-03",323.3680115,323.4450073,321.9920044,323.3729858,0,323.3729858,285.230011,285.4899902,283.1799927,285.1260071,0,285.1260071,0,0,0,0,0
"133","2018-12-04",322.2690125,323.4389954,322.1619873,322.2690125,0,322.2690125,283.8399963,285.0239868,282.5799866,283.9500122,0,283.9500122,0,0,0,0,0
"134","2018-12-05",323.3169861,323.8800049,323.1860046,323.3169861,0,323.3169861,285.0419922,286.1300049,284.5599976,285.0599976,0,285.0599976,0,0,0,0,0
"135","2018-12-06",323.0249939,324.0209961,322.9339905,323.0289917,0,323.0289917,284.6820068,286.1059875,283.1430054,284.7600098,0,284.7600098,0,0,0,0,0
"136","2018-12-07",322.6719971,323.519989,322.526001,322.6809998,0,322.6809998,283.7399902,284.5450134,282.8200073,283.7799988,0,283.7799988,0,0,0,0,0
"137","2018-12-10",322.8699951,323.5840149,322.7460022,322.8609924,0,322.8609924,283.230011,284.7780151,282.2770081,283.2099915,0,283.2099915,0,0,0,0,0
"138","2018-12-11",323.1960144,323.776001,323.1119995,323.2099915,0,323.2099915,284.769989,286.3380127,283.4700012,284.7399902,0,284.7399902,0,0,0,0,0
"139","2018-12-12",323.3850098,323.5759888,322.7940063,323.4030151,0,323.4030151,285.6229858,285.8980103,283.75,285.6900024,0,285.6900024,0,0,0,0,0
"140","2018-12-13",322.6440125,323.3640137,322.5069885,322.6350098,0,322.6350098,283.8200073,285.0549927,283.1900024,283.6950073,0,283.6950073,1,0,0,0,0
"141","2018-12-14",322.9440002,324.118988,322.9419861,323.1210022,0,323.1210022,284.3299866,287.4100037,284.2319946,284.3299866,0,284.3299866,0,0,0,0,0
"142","2018-12-17",323.2980042,323.5450134,322.8840027,323.2950134,0,323.2950134,285.9580078,286.1600037,284.3500061,285.980011,0,285.980011,0,0,0,0,0
"143","2018-12-18",323.2139893,323.4299927,322.1719971,323.2109985,0,323.2109985,284.8500061,285.1799927,283.1099854,284.8800049,0,284.8800049,0,0,0,0,0
"144","2018-12-19",321.9020081,322.7890015,321.8619995,321.8869934,0,321.8869934,282.9930115,283.230011,281.5700073,283.0799866,0,283.0799866,0,0,0,0,0
"145","2018-12-20",322.3399963,322.7999878,321.3399963,322.3439941,0,322.3439941,283.1799927,283.5700073,279.9200134,283.2200012,0,283.2200012,0,0,0,0,0
"146","2018-12-21",321.1860046,322.1820068,321.0350037,321.1900024,0,321.1900024,280.3450012,282.6789856,279.7399902,280.3599854,0,280.3599854,0,0,0,0,0
"147","2018-12-24",321.7200012,321.9599915,320.730011,321.7059937,0,321.7059937,282.9230042,283.1099854,280.4400024,282.8909912,0,282.8909912,0,0,0,0,0
"148","2018-12-25",320.9639893,321.5700073,320.7319946,320.9639893,0,320.9639893,281.4140015,281.8900146,280.9039917,281.8099976,0,281.8099976,0,0,0,0,0
